No.,Ministry,Total_05-06,Total_06-07,Total_07-08,Total_09-10,Total_10-11,Total_12-13,Total_13-14,Total_15-16,Total_16-17,Total_19-20,Total_20-21,Total_21-22,Total_22-23,Total_23-24
141,m. School Education and Literacy,0.0,0.0,23142.22,29099.21,33214.0,48781.0,52701.0,35781.5,8466.5,56386.63,59845.0,54873.66,63449.37,68804.85
142,p. Labour and Employment,1192.09,1481.36,1633.48,2442.97,2848.33,4333.68,5081.2,3966.85,6131.35,10434.09,12065.49,13306.5,16893.68,13221.73
143,p. Labour and Employment,1192.09,1481.36,1633.48,2442.97,2848.33,4333.68,5081.2,3966.85,111.25,10434.09,12065.49,13306.5,16893.68,13221.73
144,p. Labour and Employment,1192.09,1481.36,1633.48,2442.97,2848.33,4333.68,5081.2,1390.52,6131.35,10434.09,12065.49,13306.5,16893.68,13221.73
145,p. Labour and Employment,1192.09,1481.36,1633.48,2442.97,2848.33,4333.68,5081.2,1390.52,111.25,10434.09,12065.49,13306.5,16893.68,13221.73
146,p. Law and Justice,495.0,872.95,817.0,1678.0,687.19,1535.62,1815.47,500.0,4564.99,3055.11,2200.0,2645.82,3393.48,3975.43
147,p. Law and Justice,495.0,872.95,817.0,1678.0,687.19,1535.62,1815.47,500.0,460.01,3055.11,2200.0,2645.82,3393.48,3975.43
148,p. Law and Justice,495.0,872.95,817.0,1678.0,687.19,1535.62,1815.47,2960.65,4564.99,3055.11,2200.0,2645.82,3393.48,3975.43
149,p. Law and Justice,495.0,872.95,817.0,1678.0,687.19,1535.62,1815.47,2960.65,460.01,3055.11,2200.0,2645.82,3393.48,3975.43
150,r. Minority Affairs,0.0,2.0,512.83,1756.5,2615.37,3154.7,3530.98,2494.11,2824.0,4700.0,5029.0,4810.77,5020.5,3097.6
151,r. Minority Affairs,0.0,2.0,512.83,1756.5,2615.37,3154.7,3530.98,2494.11,991.75,4700.0,5029.0,4810.77,5020.5,3097.6
152,r. Minority Affairs,0.0,2.0,512.83,1756.5,2615.37,3154.7,3530.98,1232.0,2824.0,4700.0,5029.0,4810.77,5020.5,3097.6
153,r. Minority Affairs,0.0,2.0,512.83,1756.5,2615.37,3154.7,3530.98,1232.0,991.75,4700.0,5029.0,4810.77,5020.5,3097.6
154,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,19565.0,22184.9,2267.0,28942.23,2868.0,46983.0,83015.97,91823.22,118101.0,199107.71,270434.71
155,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,19565.0,22184.9,2267.0,2267.0,2868.0,10833.0,83015.97,91823.22,118101.0,199107.71,270434.71
156,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,19565.0,22184.9,2267.0,2267.0,2868.0,46983.0,83015.97,91823.22,118101.0,199107.71,270434.71
157,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,19565.0,22184.9,2267.0,2267.0,42841.65,10833.0,83015.97,91823.22,118101.0,199107.71,270434.71
158,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,19565.0,22184.9,2267.0,2267.0,42841.65,46983.0,83015.97,91823.22,118101.0,199107.71,270434.71
159,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,19565.0,22184.9,2267.0,28942.23,2868.0,10833.0,83015.97,91823.22,118101.0,199107.71,270434.71
160,s. Road Transport and Highways,13889.55,15253.8,30766.170000000002,1988.55,22184.9,28438.21,28942.23,42841.65,46983.0,83015.97,91823.22,118101.0,199107.71,270434.71
