Ministry,Budget_07-08,Budget_20-21,Budget_10-11,Budget_06-07,Budget_15-16,Budget_22-23,Budget_12-13,Budget_13-14,Budget_23-24,Budget_21-22,Budget_09-10,Budget_19-20,Budget_05-06,Budget_16-17,Growth_05-06_to_06-07,Growth_06-07_to_07-08,Growth_07-08_to_09-10,Growth_09-10_to_10-11,Growth_10-11_to_12-13,Growth_12-13_to_13-14,Growth_13-14_to_15-16,Growth_15-16_to_16-17,Growth_16-17_to_19-20,Growth_19-20_to_20-21,Growth_20-21_to_21-22,Growth_21-22_to_22-23,Growth_22-23_to_23-24,CAGR
Textiles,6273.36,3514.79,5608.08,3045.75,4274.8,12382.14,7836.41,5431.59,4389.34,3631.64,5398.0,5831.48,2008.25,4594.82,51.661894684426734,105.97094311745875,-13.953606998482467,3.8918117821415326,39.73427625854124,-30.687776673247058,-21.297446972249375,7.486198184710384,26.9142207964621,-39.727307647458275,3.324522944471787,240.95174631846768,-64.55103883496713,6.199298930125274
Tourism,1993.24,2499.83,1119.41,872.82,1553.07,2400.0,1282.98,1357.3,2400.0,2026.77,1070.0,2189.22,828.2,1590.32,5.387587539241729,128.36781925253774,-46.31855672171941,4.617757009345802,14.612161763786274,5.792763721959807,14.423487806675015,2.3984752779977723,37.65908747924945,14.188158339499921,-18.923686810703128,18.41501502390503,0.0,8.528627030023062
a. agriculture and cooperation,0.0,0.0,0.0,0.0,10800.0,0.0,9217.0,9954.0,0.0,0.0,4107.07,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,7.996094173809265,8.499095840867993,-100.0,0.0,0.0,0.0,0.0,0.0,0.0
a. agriculture cooperation and farmers welfare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12739.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0
aa. tourism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aa. urban development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6668.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0
agriculture and farmers welfare,0.0,0.0,0.0,0.0,0.0,124000.0,0.0,0.0,115531.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.829201612903231,0.0
agriculture research and education,0.0,0.0,0.0,0.0,6320.0,0.0,5392.0,5729.17,0.0,0.0,0.0,0.0,0.0,6620.0,0.0,0.0,0.0,0.0,0.0,6.253152818991099,10.312663090814201,4.746835443037975,-100.0,0.0,0.0,0.0,0.0,0.0
agro and rural industries,1199.63,0.0,0.0,1054.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.63,0.0,11.40889259795275,13.74889771768298,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
andaman and nicobar islands,1854.83,5164.26,2064.31,1977.93,3748.38,5703.65,2982.65,3192.7,0.0,5317.41,2689.23,4817.48,1675.59,4072.02,18.04379352944337,-6.223678289929378,44.98525471336997,-23.23787850053733,44.486535452524095,7.042395185489404,17.4047044820998,8.634129944135863,18.306884543789067,7.198369271901505,2.9655749323233076,7.263686644437796,-100.0,0.0
animal husbandry,0.0,0.0,1398.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
