Sector_12,Fiscal_Year,Budget_Amount,GDP_Growth_Rate,Inflation_CPI,Exchange_Rate_USD,Fiscal_Deficit_GDP,Global_GDP_Growth,Election_Year,High_Inflation,GDP_Growth_Lag1,Inflation_Lag1,Sector_Share_GDP,Sector_Share_Lag1,Sector_Share_Growth,Budget_Lag1,Budget_Lag2,Budget_Growth_Lag1,Trend,Inflation_x_Election,GDPGrowth_x_Election
energy and natural resources,05-06,27353.06,8.06073257166651,4.2,44.27,4.0,4.1,0.0,0.0,,3.8,3.5,,,,,,1,0.0,0.0
energy and natural resources,06-07,31640.27,7.6608150670107,6.6,45.28,3.4,4.3,0.0,1.0,8.06073257166651,4.2,3.5,3.5,0.0,27353.06,,0.1567360288026276,2,0.0,0.0
energy and natural resources,07-08,37302.65,3.08669805921981,6.2,40.24,2.7,3.0,0.0,1.0,7.6608150670107,6.6,3.5,3.5,0.0,31640.27,27353.06,0.17896117827060265,3,0.0,0.0
energy and natural resources,09-10,71246.0,8.49758470221235,12.3,47.42,6.4,4.6,1.0,1.0,7.86188883286074,9.1,3.6,3.5,0.028571428571428692,37302.65,31640.27,0.9099447358297601,4,12.3,8.49758470221235
energy and natural resources,10-11,73680.87,5.24131619937695,10.5,45.58,6.5,3.3,0.0,1.0,8.49758470221235,12.3,3.7,3.6,0.0277777777777779,71246.0,37302.65,0.034175532661482766,5,0.0,0.0
energy and natural resources,11-12,73942.15,5.45638755166587,8.4,47.92,5.9,3.5,0.0,1.0,5.24131619937695,10.5,3.8,3.7,0.027027027027026973,73680.87,71246.0,0.0035461036222834696,6,0.0,0.0
energy and natural resources,12-13,85874.31,6.38610640094825,10.2,53.21,5.9,3.4,0.0,1.0,5.45638755166587,8.4,3.8,3.8,0.0,73942.15,73680.87,0.16137155871177677,7,0.0,0.0
energy and natural resources,13-14,92370.92,7.41022760508854,9.4,60.5,4.5,3.6,0.0,1.0,6.38610640094825,10.2,3.8,3.8,0.0,85874.31,73942.15,0.07565254381665487,8,0.0,0.0
energy and natural resources,15-16,95909.92,8.25630550179086,4.9,65.46,3.9,3.3,0.0,0.0,7.99625378571471,5.9,3.9,3.8,0.026315789473684292,92370.92,85874.31,0.038312923591104164,9,0.0,0.0
energy and natural resources,16-17,101509.17,6.79538341897911,4.5,67.07,3.5,3.8,0.0,0.0,8.25630550179086,4.9,4.0,3.9,0.025641025641025772,95909.92,92370.92,0.058380301015786396,10,0.0,0.0
