Sector_12,Fiscal_Year,Budget_Amount,GDP_Growth_Rate,Inflation_CPI,Exchange_Rate_USD,Fiscal_Deficit_GDP,Global_GDP_Growth,Election_Year,High_Inflation,GDP_Growth_Lag1,Inflation_Lag1
regional and development,10-11,4701.379999999999,5.24131619937695,10.5,45.58,6.5,3.3,0.0,1.0,8.49758470221235,12.3
regional and development,11-12,5715.32,5.45638755166587,8.4,47.92,5.9,3.5,0.0,1.0,5.24131619937695,10.5
regional and development,12-13,6393.98,6.38610640094825,10.2,53.21,5.9,3.4,0.0,1.0,5.45638755166587,8.4
regional and development,13-14,7001.549999999999,7.41022760508854,9.4,60.5,4.5,3.6,0.0,1.0,6.38610640094825,10.2
regional and development,15-16,6443.86,8.25630550179086,4.9,65.46,3.9,3.3,0.0,0.0,7.99625378571471,5.9
regional and development,16-17,5700.59,6.79538341897911,4.5,67.07,3.5,3.8,0.0,0.0,8.25630550179086,4.9
regional and development,17-18,17499.37,6.45385134497769,3.6,64.45,3.5,3.6,0.0,0.0,6.79538341897911,4.5
regional and development,18-19,19523.86,3.87143694070356,3.4,69.92,3.4,2.8,0.0,0.0,6.45385134497769,3.6
regional and development,19-20,20871.4,5.77772470686801,4.8,74.53,4.6,-2.9,1.0,1.0,3.87143694070356,3.4
regional and development,20-21,23034.99,9.68959249192875,6.2,73.23,9.2,6.2,0.0,0.0,5.77772470686801,4.8
regional and development,21-22,23025.15,7.60936497768895,5.5,74.57,6.7,3.4,0.0,1.0,9.68959249192875,6.2
regional and development,22-23,25407.49,9.19075493028345,6.7,81.35,6.4,2.8,0.0,0.0,7.60936497768895,5.5
regional and development,23-24,31008.08,6.48422363033757,5.4,81.94,5.6,3.2,0.0,0.0,9.19075493028345,6.7
science and innovation,05-06,6799.6,8.06073257166651,4.2,44.27,4.0,4.1,0.0,0.0,,
science and innovation,06-07,7640.6,7.6608150670107,6.6,45.28,3.4,4.3,0.0,1.0,8.06073257166651,4.2
science and innovation,07-08,8230.3,3.08669805921981,6.2,40.24,2.7,3.0,0.0,1.0,7.6608150670107,6.6
science and innovation,09-10,10807.0,8.49758470221235,12.3,47.42,6.4,4.6,1.0,1.0,7.86188883286074,9.1
science and innovation,10-11,12357.0,5.24131619937695,10.5,45.58,6.5,3.3,0.0,1.0,8.49758470221235,12.3
science and innovation,11-12,14170.92,5.45638755166587,8.4,47.92,5.9,3.5,0.0,1.0,5.24131619937695,10.5
science and innovation,12-13,14572.61,6.38610640094825,10.2,53.21,5.9,3.4,0.0,1.0,5.45638755166587,8.4
science and innovation,13-14,15049.33,7.41022760508854,9.4,60.5,4.5,3.6,0.0,1.0,6.38610640094825,10.2
science and innovation,15-16,16880.03,8.25630550179086,4.9,65.46,3.9,3.3,0.0,0.0,7.99625378571471,5.9
science and innovation,16-17,17862.14,6.79538341897911,4.5,67.07,3.5,3.8,0.0,0.0,8.25630550179086,4.9
science and innovation,17-18,20579.09,6.45385134497769,3.6,64.45,3.5,3.6,0.0,0.0,6.79538341897911,4.5
science and innovation,18-19,23105.7,3.87143694070356,3.4,69.92,3.4,2.8,0.0,0.0,6.45385134497769,3.6
science and innovation,19-20,24335.5,5.77772470686801,4.8,74.53,4.6,-2.9,1.0,1.0,3.87143694070356,3.4
science and innovation,20-21,27952.76,9.68959249192875,6.2,73.23,9.2,6.2,0.0,0.0,5.77772470686801,4.8
science and innovation,21-22,28743.120000000003,7.60936497768895,5.5,74.57,6.7,3.4,0.0,1.0,9.68959249192875,6.2
science and innovation,22-23,27917.46,9.19075493028345,6.7,81.35,6.4,2.8,0.0,0.0,7.60936497768895,5.5
science and innovation,23-24,28905.33,6.48422363033757,5.4,81.94,5.6,3.2,0.0,0.0,9.19075493028345,6.7
social and services,05-06,28608.45,8.06073257166651,4.2,44.27,4.0,4.1,0.0,0.0,,
social and services,06-07,48197.7,7.6608150670107,6.6,45.28,3.4,4.3,0.0,1.0,8.06073257166651,4.2
social and services,07-08,60391.79,3.08669805921981,6.2,40.24,2.7,3.0,0.0,1.0,7.6608150670107,6.6
social and services,09-10,86266.54000000001,8.49758470221235,12.3,47.42,6.4,4.6,1.0,1.0,7.86188883286074,9.1
social and services,10-11,99508.37,5.24131619937695,10.5,45.58,6.5,3.3,0.0,1.0,8.49758470221235,12.3
social and services,11-12,110655.0,5.45638755166587,8.4,47.92,5.9,3.5,0.0,1.0,5.24131619937695,10.5
social and services,12-13,135191.11,6.38610640094825,10.2,53.21,5.9,3.4,0.0,1.0,5.45638755166587,8.4
social and services,13-14,145720.07,7.41022760508854,9.4,60.5,4.5,3.6,0.0,1.0,6.38610640094825,10.2
social and services,15-16,53316.64,8.25630550179086,4.9,65.46,3.9,3.3,0.0,0.0,7.99625378571471,5.9
social and services,16-17,70287.81,6.79538341897911,4.5,67.07,3.5,3.8,0.0,0.0,8.25630550179086,4.9
social and services,17-18,159412.99,6.45385134497769,3.6,64.45,3.5,3.6,0.0,0.0,6.79538341897911,4.5
social and services,18-19,181379.93,3.87143694070356,3.4,69.92,3.4,2.8,0.0,0.0,6.45385134497769,3.6
social and services,19-20,204242.16,5.77772470686801,4.8,74.53,4.6,-2.9,1.0,1.0,3.87143694070356,3.4
social and services,20-21,215154.24,9.68959249192875,6.2,73.23,9.2,6.2,0.0,0.0,5.77772470686801,4.8
social and services,21-22,209816.52,7.60936497768895,5.5,74.57,6.7,3.4,0.0,1.0,9.68959249192875,6.2
social and services,22-23,234637.34,9.19075493028345,6.7,81.35,6.4,2.8,0.0,0.0,7.60936497768895,5.5
social and services,23-24,252239.36,6.48422363033757,5.4,81.94,5.6,3.2,0.0,0.0,9.19075493028345,6.7
