Sector_12,Fiscal_Year,Budget_Amount,GDP_Growth_Rate,Inflation_CPI,Exchange_Rate_USD,Fiscal_Deficit_GDP,Global_GDP_Growth,Election_Year,High_Inflation,GDP_Growth_Lag1,Inflation_Lag1,Sector_Share_GDP,Year_End,Budget_Lag1,Budget_Lag2,Budget_Growth_Lag1,Sector_Share_Lag1,Sector_Share_Growth,Budget_Log,Share_Log,Budget_Log_Diff1,Share_Log_Diff1,Budget_LogDiff1_MA3,Share_LogDiff1_MA3,Trend,Inflation_x_Election,GDPGrowth_x_Election
energy and natural resources,07-08,37302.65,3.08669805921981,6.2,40.24,2.7,3.0,0.0,1.0,7.6608150670107,6.6,3.5,2008,31640.27,27353.06,0.17896117827060265,3.5,0.0,10.526819648684697,1.252762968495368,0.16463369333762046,0.0,0.15511798204741645,0.0,3,0.0,0.0
energy and natural resources,09-10,71246.0,8.49758470221235,12.3,47.42,6.4,4.6,1.0,1.0,7.86188883286074,9.1,3.6,2010,37302.65,31640.27,0.9099447358297601,3.5,0.028571428571428692,11.173893956204092,1.2809338454620642,0.6470743075193948,0.02817087696669618,0.3191034238714092,0.00939029232223206,4,12.3,8.49758470221235
energy and natural resources,10-11,73680.87,5.24131619937695,10.5,45.58,6.5,3.3,0.0,1.0,8.49758470221235,12.3,3.7,2011,71246.0,37302.65,0.034175532661482766,3.6,0.0277777777777779,11.207498478677067,1.308332819650179,0.03360452247297552,0.027398974188114655,0.2817708411099969,0.018523283718270278,5,0.0,0.0
energy and natural resources,11-12,73942.15,5.45638755166587,8.4,47.92,5.9,3.5,0.0,1.0,5.24131619937695,10.5,3.8,2012,73680.87,71246.0,0.0035461036222834696,3.7,0.027027027027026973,11.211038309698388,1.33500106673234,0.0035398310213210493,0.02666824708216109,0.22807288700456377,0.027412699412323976,6,0.0,0.0
energy and natural resources,12-13,85874.31,6.38610640094825,10.2,53.21,5.9,3.4,0.0,1.0,5.45638755166587,8.4,3.8,2013,73942.15,73680.87,0.16137155871177677,3.8,0.0,11.360639994557872,1.33500106673234,0.14960168485948344,0.0,0.06224867945126,0.018022407090091914,7,0.0,0.0
energy and natural resources,13-14,92370.92,7.41022760508854,9.4,60.5,4.5,3.6,0.0,1.0,6.38610640094825,10.2,3.8,2014,85874.31,73942.15,0.07565254381665487,3.8,0.0,11.43356748948076,1.33500106673234,0.07292749492288841,0.0,0.0753563369345643,0.008889415694053696,8,0.0,0.0
energy and natural resources,15-16,95909.92,8.25630550179086,4.9,65.46,3.9,3.3,0.0,0.0,7.99625378571471,5.9,3.9,2016,92370.92,85874.31,0.038312923591104164,3.8,0.026315789473684292,11.471164696606332,1.3609765531356006,0.037597207125571686,0.02597548640326064,0.08670879563598118,0.008658495467753546,9,0.0,0.0
energy and natural resources,16-17,101509.17,6.79538341897911,4.5,67.07,3.5,3.8,0.0,0.0,8.25630550179086,4.9,4.0,2017,95909.92,92370.92,0.058380301015786396,3.9,0.025641025641025772,11.527904418210717,1.3862943611198906,0.05673972160438545,0.025317807984289953,0.05575480788428185,0.017097764795850196,10,0.0,0.0
energy and natural resources,17-18,107896.06,6.45385134497769,3.6,64.45,3.5,3.6,0.0,0.0,6.79538341897911,4.5,4.0,2018,101509.17,95909.92,0.06291934019360035,4.0,0.0,11.588923635287589,1.3862943611198906,0.06101921707687197,0.0,0.0517853819356097,0.017097764795850196,11,0.0,0.0
energy and natural resources,18-19,110532.9,3.87143694070356,3.4,69.92,3.4,2.8,0.0,0.0,6.45385134497769,3.6,4.0,2019,107896.06,101509.17,0.02443870517607416,4.0,0.0,11.613068493181474,1.3862943611198906,0.02414485789388543,0.0,0.04730126552504762,0.008439269328096652,12,0.0,0.0
energy and natural resources,19-20,121172.29,5.77772470686801,4.8,74.53,4.6,-2.9,1.0,1.0,3.87143694070356,3.4,4.1,2020,110532.9,107896.06,0.09625541354655498,4.0,0.02499999999999991,11.70496869611441,1.410986973710262,0.09190020293293522,0.024692612590371477,0.059021425967897535,0.00823087086345716,13,4.8,5.77772470686801
energy and natural resources,20-21,120093.16,9.68959249192875,6.2,73.23,9.2,6.2,0.0,0.0,5.77772470686801,4.8,4.1,2021,121172.29,110532.9,-0.00890574899591312,4.1,0.0,11.696023053906668,1.410986973710262,-0.008945642207741855,0.0,0.0356998062063596,0.00823087086345716,14,0.0,0.0
energy and natural resources,21-22,127492.48,7.60936497768895,5.5,74.57,6.7,3.4,0.0,1.0,9.68959249192875,6.2,4.2,2022,120093.16,121172.29,0.06161316764418556,4.1,0.024390243902439046,11.755812661449049,1.4350845252893227,0.05978960754238116,0.024097551579060683,0.04758138942252484,0.016263388056477385,15,0.0,0.0
energy and natural resources,22-23,167959.67,9.19075493028345,6.7,81.35,6.4,2.8,0.0,0.0,7.60936497768895,5.5,4.2,2023,127492.48,120093.16,0.3174084463648368,4.2,0.0,12.031479170042687,1.4350845252893227,0.2756665085936376,0.0,0.10883682464275897,0.008032517193020228,16,0.0,0.0
energy and natural resources,23-24,246136.28,6.48422363033757,5.4,81.94,5.6,3.2,0.0,0.0,9.19075493028345,6.7,4.3,2024,167959.67,127492.48,0.4654486996789169,4.2,0.023809523809523725,12.413640645261994,1.4586150226995167,0.38216147521930743,0.023530497410193973,0.23920586378510875,0.015876016329751552,17,0.0,0.0
food distribution,05-06,26909.99,8.06073257166651,4.2,44.27,4.0,4.1,0.0,0.0,,,1.5,2006,,,,,,10.200252872111815,0.4054651081081644,,,,,1,0.0,0.0
food distribution,06-07,24967.5,7.6608150670107,6.6,45.28,3.4,4.3,0.0,1.0,8.06073257166651,4.2,1.5,2007,26909.99,,-0.07218471653092406,1.5,0.0,10.12533025811729,0.4054651081081644,-0.07492261399452538,0.0,-0.07492261399452538,0.0,2,0.0,0.0
food distribution,07-08,26592.94,3.08669805921981,6.2,40.24,2.7,3.0,0.0,1.0,7.6608150670107,6.6,1.5,2008,24967.5,26909.99,0.0651022329027735,1.5,0.0,10.18840104600755,0.4054651081081644,0.06307078789026122,0.0,-0.005925913052132081,0.0,3,0.0,0.0
food distribution,09-10,54079.5,8.49758470221235,12.3,47.42,6.4,4.6,1.0,1.0,7.86188883286074,9.1,1.5,2010,26592.94,24967.5,1.0336036557071164,1.5,0.0,10.898210465111974,0.4054651081081644,0.709809419104424,0.0,0.23265253100005326,0.0,4,12.3,8.49758470221235
food distribution,10-11,57017.97,5.24131619937695,10.5,45.58,6.5,3.3,0.0,1.0,8.49758470221235,12.3,1.5,2011,54079.5,26592.94,0.05433611627326429,1.5,0.0,10.951121760289595,0.4054651081081644,0.05291129517762094,0.0,0.2752638340574354,0.0,5,0.0,0.0
food distribution,11-12,62796.66,5.45638755166587,8.4,47.92,5.9,3.5,0.0,1.0,5.24131619937695,10.5,1.6,2012,57017.97,54079.5,0.10134857484403614,1.5,0.06666666666666665,11.047657166328557,0.47000362924573563,0.09653540603896182,0.06453852113757125,0.28641870677366893,0.021512840379190417,6,0.0,0.0
food distribution,12-13,77539.99,6.38610640094825,10.2,53.21,5.9,3.4,0.0,1.0,5.45638755166587,8.4,1.6,2013,62796.66,57017.97,0.23477888792174628,1.6,0.0,11.258549082259217,0.47000362924573563,0.21089191593065948,0.0,0.12011287238241408,0.021512840379190417,7,0.0,0.0
food distribution,13-14,92310.56,7.41022760508854,9.4,60.5,4.5,3.6,0.0,1.0,6.38610640094825,10.2,1.6,2014,77539.99,62796.66,0.19048970731102743,1.6,0.0,11.4329138234808,0.47000362924573563,0.17436474122158252,0.0,0.16059735439706793,0.021512840379190417,8,0.0,0.0
food distribution,15-16,125972.28,8.25630550179086,4.9,65.46,3.9,3.3,0.0,0.0,7.99625378571471,5.9,1.6,2016,92310.56,77539.99,0.36465730464640234,1.6,0.0,11.743817161730066,0.47000362924573563,0.3109033382492665,0.0,0.23205333180050283,0.0,9,0.0,0.0
food distribution,16-17,142027.63,6.79538341897911,4.5,67.07,3.5,3.8,0.0,0.0,8.25630550179086,4.9,1.6,2017,125972.28,92310.56,0.12745145201785668,1.6,0.0,11.863776895120447,0.47000362924573563,0.11995973339038102,0.0,0.2017426042870767,0.0,10,0.0,0.0
food distribution,17-18,155031.69,6.45385134497769,3.6,64.45,3.5,3.6,0.0,0.0,6.79538341897911,4.5,1.6,2018,142027.63,125972.28,0.09156007179729753,1.6,0.0,11.951384826616904,0.47000362924573563,0.08760793149645707,0.0,0.17282366771203486,0.0,11,0.0,0.0
food distribution,18-19,177344.27000000002,3.87143694070356,3.4,69.92,3.4,2.8,0.0,0.0,6.45385134497769,3.6,1.6,2019,155031.69,142027.63,0.14392270380333216,1.6,0.0,12.085848150686305,0.47000362924573563,0.13446332406940087,0.0,0.11401032965207965,0.0,12,0.0,0.0
food distribution,19-20,195709.31000000003,5.77772470686801,4.8,74.53,4.6,-2.9,1.0,1.0,3.87143694070356,3.4,1.6,2020,177344.27000000002,155031.69,0.10355586904499381,1.6,0.0,12.184385725068152,0.47000362924573563,0.09853757438184729,0.0,0.1068696099825684,0.0,13,4.8,5.77772470686801
food distribution,20-21,125768.37,9.68959249192875,6.2,73.23,9.2,6.2,0.0,0.0,5.77772470686801,4.8,1.8,2021,195709.31000000003,177344.27000000002,-0.35737155273808907,1.6,0.125,11.742197160791836,0.5877866649021191,-0.44218856427631614,0.11778303565638343,-0.06972922194168933,0.03926101188546114,14,0.0,0.0
food distribution,21-22,258257.06,7.60936497768895,5.5,74.57,6.7,3.4,0.0,1.0,9.68959249192875,6.2,1.8,2022,125768.37,195709.31000000003,1.0534341027080178,1.8,0.0,12.461710724459133,0.5877866649021191,0.7195135636672969,0.0,0.1252875245909427,0.03926101188546114,15,0.0,0.0
food distribution,22-23,220626.45,9.19075493028345,6.7,81.35,6.4,2.8,0.0,0.0,7.60936497768895,5.5,1.7,2023,258257.06,125768.37,-0.1457098985019034,1.8,-0.05555555555555558,12.30422627888606,0.5306282510621704,-0.15748444557307195,-0.057158413839948685,0.03994685127263627,0.020208207272144913,16,0.0,0.0
food distribution,23-24,209052.25,6.48422363033757,5.4,81.94,5.6,3.2,0.0,0.0,9.19075493028345,6.7,1.7,2024,220626.45,258257.06,-0.05246061838913696,1.7,0.0,12.250339499702156,0.5306282510621704,-0.053886779183905276,0.0,0.16938077963677323,-0.019052804613316227,17,0.0,0.0
governance and administration,05-06,4849.17,8.06073257166651,4.2,44.27,4.0,4.1,0.0,0.0,,,5.3,2006,,,,,,8.486562835265813,1.667706820558076,,,,,1,0.0,0.0
governance and administration,06-07,5064.3,7.6608150670107,6.6,45.28,3.4,4.3,0.0,1.0,8.06073257166651,4.2,5.3,2007,4849.17,,0.044364293270807265,5.3,0.0,8.529971203775453,1.667706820558076,0.04340836850964003,0.0,0.04340836850964003,0.0,2,0.0,0.0
